id,Videocard Name,Passmark G3D Mark(higher is better),Rank(lower is better),Videocard Value(higher is better),Price(USD)
2357,Radeon Vega 3 Ryzen 3 3250U,674,1505,NA,NA
2358,Radeon Vega 3 Ryzen Embedded R1305G,580,1622,NA,NA
2359,Radeon Vega 3 Ryzen Embedded R1505G,741,1442,NA,NA
2360,Radeon Vega 3 Ryzen Embedded R1606G,856,1331,NA,NA
2361,Radeon Vega 6,1309,1103,0.73,"$1,799.99*"
2362,Radeon Vega 6 Ryzen 3 3300U,1311,1101,NA,NA
2363,Radeon Vega 6 Ryzen 3 3350U,1480,1057,NA,NA
2364,Radeon Vega 6 Ryzen 3 PRO 3300U w/,1340,1095,NA,NA
2365,Radeon Vega 8,1577,1017,12.44,$126.86*
2366,Radeon Vega 8 Mobile,1426,1069,NA,NA
2367,Radeon Vega 8 Ryzen 3 3200G,1712,960,NA,NA
2368,Radeon Vega 8 Ryzen 3 3200GE,1994,863,NA,NA
2369,Radeon Vega 8 Ryzen 3 PRO 3200G,1261,1118,NA,NA
2370,Radeon Vega 8 Ryzen 3 PRO 3200GE w/,1586,1013,NA,NA
2371,Radeon Vega 8 Ryzen 5 3450U,1292,1108,NA,NA
2372,Radeon Vega 8 Ryzen 5 3500U,1352,1090,NA,NA
2373,Radeon Vega 8 Ryzen 5 3550H,1680,977,NA,NA
2374,Radeon Vega 8 Ryzen 5 PRO 3500U w/,1481,1056,NA,NA
2375,Radeon Vega 9,1587,1012,NA,NA
2376,Radeon Vega 9 Ryzen 5 3550H,1516,1037,NA,NA
2377,Radeon Vega 9 Ryzen 5 Microsoft Surface Edition,1496,1047,NA,NA
2378,Radeon Vega Frontier Edition,13013,180,7.75,"$1,679.99*"
2379,Radeon VII,16354,112,8.61,"$1,899.95*"
2380,Radeon X1050,49,2385,NA,NA
2381,Radeon X1200,32,2466,NA,NA
2382,Radeon X1250,37,2437,NA,NA
2383,Radeon X1270,31,2470,NA,NA
2384,Radeon X1300,58,2356,0.61,$95.78*
2385,Radeon X1300 PRO,84,2279,NA,NA
2386,Radeon X1550,66,2335,0.43,$155.00*
2387,Radeon X1550 64-bit,47,2390,NA,NA
2388,Radeon X1600,49,2383,NA,NA
2389,Radeon X1600 Pro,98,2240,NA,NA
2390,Radeon X1600 Pro / X1300XT,69,2323,NA,NA
2391,Radeon X1600 XT,115,2191,NA,NA
2392,Radeon X1650 GTO,74,2303,NA,NA
2393,Radeon X1650 Pro,84,2276,0.53,$160.89*
2394,Radeon X1650 SE,71,2315,NA,NA
2395,Radeon X1700 Targa Edition,116,2189,NA,NA
2396,Radeon X1800 GTO,140,2121,NA,NA
2397,Radeon X1900 CrossFire Edition,137,2131,NA,NA
2398,Radeon X1900 GT,145,2105,NA,NA
2399,Radeon X1950 CrossFire Edition,151,2091,NA,NA
2400,Radeon X1950 GT,106,2218,NA,NA
2401,Radeon X1950 Pro,112,2199,NA,NA
2402,RADEON X300SE,38,2432,NA,NA
2403,RADEON X550,50,2377,NA,NA
2404,RADEON X550XT,56,2364,NA,NA
2405,Radeon X550XTX,70,2316,NA,NA
2406,RADEON X600 256MB HyperMemory,56,2363,NA,NA
2407,RADEON X600 PRO,67,2331,0.42,$160.49*
2408,RADEON X600 SE,49,2386,0.87,$56.18*
2409,RADEON X600XT,91,2263,NA,NA
2410,RADEON X700,72,2310,NA,NA
2411,RADEON X700 PRO,75,2301,NA,NA
2412,RADEON X700 SE,71,2314,NA,NA
2413,RADEON X800 GT,84,2280,NA,NA
2414,RADEON X800 GTO,114,2193,NA,NA
2415,RADEON X800 PRO,64,2339,NA,NA
2416,RADEON X800 PRO/GTO,73,2307,NA,NA
2417,RADEON X800 SE,129,2148,NA,NA
2418,RADEON X800 XL,69,2322,NA,NA
2419,RADEON X800 XT,97,2246,NA,NA
2420,RADEON X800 XT Platinum Edition,81,2291,NA,NA
2421,RADEON X800GT,79,2296,NA,NA
2422,RADEON X850 PRO,72,2309,NA,NA
2423,RADEON X850 XT,81,2293,NA,NA
2424,RADEON X850 XT Platinum Edition,81,2286,NA,NA
2425,Radeon Xpress 1100,34,2454,NA,NA
2426,Radeon Xpress 1150,29,2475,NA,NA
2427,Radeon Xpress 1200,35,2445,NA,NA
2428,Radeon Xpress 1250,42,2409,NA,NA
2429,Radeon Xpress 1270,26,2485,NA,NA
2430,Radeon Xpress 1300,52,2368,NA,NA
2431,Radeon Xpress 1300M,40,2418,NA,NA
2432,RADEON XPRESS 200,29,2476,NA,NA
2433,RADEON XPRESS 200 CROSSFIRE,18,2516,NA,NA
2434,RADEON XPRESS 200M,22,2506,NA,NA
2435,RadeonT 610M,1081,1193,NA,NA
2436,RadeonT 660M,2220,798,NA,NA
2437,RadeonT 660M Ryzen 5 7535HS,4051,539,NA,NA
2438,RadeonT 680M Ryzen 7 7735HS,5626,405,NA,NA
2439,RadeonT 780M,7098,340,NA,NA
2440,RadeonT RX 6850M XT,14609,146,NA,NA
2441,RadeonT RX Vega 11,1842,919,NA,NA
2442,RadeonT Ryzen 3 3250U,581,1620,NA,NA
2443,Rage 128 Pro,1,2692,NA,NA
2444,RAGE 128 PRO AGP 4X TMDS,1,2694,NA,NA
2445,Rage Fury Pro/Xpert 2000 Pro,3,2655,NA,NA
2446,RDPDD Chained DD,224,1999,NA,NA
2447,Red Hat QXL controller,52,2367,NA,NA
2448,RGH Drivers v3,11,2535,NA,NA
2449,RIVA TNT2 Model 64/Model 64 Pro,3,2632,NA,NA
2450,RIVA TNT2/TNT2 Pro,3,2644,NA,NA
2451,RTX 1000 Ada Generation Laptop GPU,13399,168,NA,NA
2452,RTX 2000 Ada Generation,17069,101,NA,NA
2453,RTX 2000 Ada Generation Embedded GPU,15334,134,NA,NA
2454,RTX 2000 Ada Generation Laptop GPU,15196,136,NA,NA
2455,RTX 2000E Ada Generation,14143,150,NA,NA
2456,RTX 3000 Ada Generation Laptop GPU,15872,119,NA,NA
2457,RTX 3500 Ada Generation Embedded GPU,25188,35,NA,NA
2458,RTX 3500 Ada Generation Laptop GPU,19759,76,NA,NA
2459,RTX 4000 Ada Generation,23753,43,NA,NA
2460,RTX 4000 Ada Generation Laptop GPU,22293,55,NA,NA
2461,RTX 4000 SFF Ada Generation,20469,67,NA,NA
2462,RTX 4500 Ada Generation,27468,26,NA,NA
2463,RTX 500 Ada Generation Laptop GPU,10938,229,NA,NA
2464,RTX 5000 Ada Generation,30355,14,NA,NA
2465,RTX 5000 Ada Generation Embedded GPU,27774,24,NA,NA
2466,RTX 5000 Ada Generation Laptop GPU,23911,42,NA,NA
2467,RTX 5880 Ada Generation,23750,44,NA,NA
2468,RTX 6000 Ada Generation,28551,20,NA,NA
2469,RTX A1000,10652,234,NA,NA
2470,RTX A1000 6GB Laptop GPU,10077,247,NA,NA
2471,RTX A1000 Embedded GPU,11460,222,NA,NA
2472,RTX A1000 Laptop GPU,9562,258,NA,NA
2473,RTX A2000,13576,165,23.61,$574.99*
2474,RTX A2000 12GB,13741,159,NA,NA
2475,RTX A2000 8GB Laptop GPU,10673,233,NA,NA
2476,RTX A2000 Embedded GPU,10860,231,NA,NA
2477,RTX A2000 Laptop GPU,9687,255,NA,NA
2478,RTX A3000 12GB Laptop GPU,13685,160,NA,NA
2479,RTX A3000 Laptop GPU,12681,188,NA,NA
2480,RTX A400,5885,393,NA,NA
2481,RTX A4000,19520,80,18.72,"$1,042.99*"
2482,RTX A4000 Laptop GPU,14864,143,NA,NA
2483,RTX A4500,21250,63,11.81,"$1,799.00*"
2484,RTX A4500 Embedded GPU,8309,296,NA,NA
2485,RTX A4500 Laptop GPU,16745,106,NA,NA
2486,RTX A500 Embedded GPU,5292,435,NA,NA
2487,RTX A500 Laptop GPU,6687,356,NA,NA
2488,RTX A5000,22506,53,10.09,"$2,229.99*"
2489,RTX A5000 Laptop GPU,15962,116,NA,NA
2490,RTX A5500,21276,62,9.80,"$2,169.99*"
2491,RTX A5500 Laptop GPU,17275,97,NA,NA
2492,RTX A6000,22623,51,5.50,"$4,109.99*"
2493,RTX PRO 1000 Blackwell Generation Laptop GPU,14131,151,NA,NA
2494,RTX PRO 2000 Blackwell Generation Laptop GPU,15569,126,NA,NA
2495,RTX PRO 3000 Blackwell Generation Laptop GPU,32375,8,NA,NA
2496,RTX PRO 500 Blackwell Generation Laptop GPU,15341,133,NA,NA
2497,RTX PRO 6000 Blackwell Workstation Edition,28386,21,NA,NA
2498,RV530 PRO,118,2182,NA,NA
2499,Ryzen 3 4300G with Radeon Graphics,1609,1003,NA,NA
2500,Ryzen 3 4300GE with Radeon Graphics,2334,763,NA,NA
2501,Ryzen 3 4300U with Radeon Graphics,1360,1088,NA,NA
2502,Ryzen 3 5300G with Radeon Graphics,1981,870,NA,NA
2503,Ryzen 3 5300GE with Radeon Graphics,1950,886,NA,NA
2504,Ryzen 3 5300U with Radeon Graphics,1539,1030,NA,NA
2505,Ryzen 3 5400U with Radeon Graphics,1601,1008,NA,NA
2506,Ryzen 3 5425U with Radeon Graphics,1691,972,NA,NA
2507,Ryzen 3 7330U with Radeon Graphics,1693,968,NA,NA
2508,Ryzen 3 7335U with Radeon Graphics,1980,871,NA,NA
2509,Ryzen 3 PRO 4200GE with Radeon Graphics,1748,947,NA,NA
2510,Ryzen 3 PRO 4300U with Radeon Graphics,1542,1028,NA,NA
2511,Ryzen 3 Pro 4350G with Radeon Graphics,2093,834,NA,NA
2512,Ryzen 3 PRO 4350GE with Radeon Graphics,1931,889,NA,NA
2513,Ryzen 3 PRO 4450U with Radeon Graphics,1503,1042,NA,NA
2514,Ryzen 3 PRO 5350G with Radeon Graphics,2299,773,NA,NA
2515,Ryzen 3 PRO 5350GE with Radeon Graphics,1819,928,NA,NA
2516,Ryzen 3 PRO 5450U with Radeon Graphics,1617,998,NA,NA
2517,Ryzen 3 PRO 5475U with Radeon Graphics,1431,1067,NA,NA
2518,Ryzen 3 PRO 7330U with Radeon Graphics,2144,816,NA,NA
2519,Ryzen 5 2500U with Radeon Vega,1503,1043,NA,NA
2520,Ryzen 5 4500U with Radeon Graphics,1809,931,NA,NA
2521,Ryzen 5 4600G with Radeon Graphics,2360,757,NA,NA
2522,Ryzen 5 4600H with Radeon Graphics,2129,821,NA,NA
2523,Ryzen 5 4600HS with Radeon Graphics,8370,295,NA,NA
2524,Ryzen 5 4600U with Radeon Graphics,1903,895,NA,NA
2525,Ryzen 5 5500GT with Radeon Graphics,2224,796,NA,NA
2526,Ryzen 5 5500U with Radeon Graphics,1970,875,NA,NA
2527,Ryzen 5 5560U with Radeon Graphics,2098,832,NA,NA
2528,Ryzen 5 5600G with Radeon Graphics,2570,716,NA,NA
2529,Ryzen 5 5600GE with Radeon Graphics,2547,722,NA,NA
2530,Ryzen 5 5600GT with Radeon Graphics,2200,803,NA,NA
2531,Ryzen 5 5600H with Radeon Graphics,2297,774,NA,NA
2532,Ryzen 5 5600U with Radeon Graphics,2150,813,NA,NA
2533,Ryzen 5 5625U with Radeon Graphics,1996,861,NA,NA
2534,Ryzen 5 6600H with Radeon Graphics,3579,582,NA,NA
2535,Ryzen 5 6600HS Creator Edition,3690,568,NA,NA
2536,Ryzen 5 6600U with Radeon Graphics,3233,623,NA,NA
2537,Ryzen 5 7430U with Radeon Graphics,2270,785,NA,NA
2538,Ryzen 5 7530U with Radeon Graphics,2250,792,NA,NA
2539,Ryzen 5 7535U with Radeon Graphics,3323,609,NA,NA
2540,Ryzen 5 9600X 6-Core Processor,1858,914,NA,NA
2541,Ryzen 5 PRO 4400G with Radeon Graphics,2305,772,NA,NA
2542,Ryzen 5 PRO 4400GE with Radeon Graphics,1441,1061,NA,NA
2543,Ryzen 5 PRO 4500U with Radeon Graphics,2007,855,NA,NA
2544,Ryzen 5 Pro 4650G with Radeon Graphics,2387,749,NA,NA
2545,Ryzen 5 PRO 4650GE with Radeon Graphics,2139,817,NA,NA
2546,Ryzen 5 PRO 4650U with Radeon Graphics,1685,975,NA,NA
2547,Ryzen 5 PRO 5650G with Radeon Graphics,2481,733,NA,NA
2548,Ryzen 5 PRO 5650GE with Radeon Graphics,2455,737,NA,NA
2549,Ryzen 5 PRO 5650U with Radeon Graphics,1952,884,NA,NA
2550,Ryzen 5 PRO 5675U with Radeon Graphics,1719,955,NA,NA
2551,Ryzen 5 PRO 6650U,3519,590,NA,NA
2552,Ryzen 5 PRO 6650U with Radeon Graphics,3533,588,NA,NA
2553,Ryzen 5 PRO 7530U with Radeon Graphics,1885,903,NA,NA
2554,Ryzen 5 Pro 7535U with Radeon Graphics,3750,565,NA,NA
2555,Ryzen 7 2700U with Radeon Vega,1617,997,NA,NA
2556,Ryzen 7 4700G with Radeon Graphics,2186,805,NA,NA
2557,Ryzen 7 4700GE with Radeon Graphics,2496,731,NA,NA
2558,Ryzen 7 4700U with Radeon Graphics,2034,848,NA,NA
2559,Ryzen 7 4800H with Radeon Graphics,2113,826,NA,NA
2560,Ryzen 7 4800U with Radeon Graphics,2343,762,NA,NA
2561,Ryzen 7 5700G with Radeon Graphics,2768,685,NA,NA
2562,Ryzen 7 5700GE with Radeon Graphics,2762,686,NA,NA
2563,Ryzen 7 5700U with Radeon Graphics,2241,794,NA,NA
2564,Ryzen 7 5800H with Radeon Graphics,2736,689,NA,NA
2565,Ryzen 7 5800HS with Radeon Graphics,2795,680,NA,NA
2566,Ryzen 7 5800U with Radeon Graphics,2310,771,NA,NA
2567,Ryzen 7 5825U with Radeon Graphics,2351,761,NA,NA
2568,Ryzen 7 6800H,5247,439,NA,NA
2569,Ryzen 7 6800H with Radeon Graphics,4959,467,NA,NA
2570,Ryzen 7 6800HS,5237,440,NA,NA
2571,Ryzen 7 6800HS Creator Edition,5465,423,NA,NA
2572,Ryzen 7 6800HS with Radeon Graphics,6240,372,NA,NA
2573,Ryzen 7 6800U,5006,463,NA,NA
2574,Ryzen 7 6800U with Radeon Graphics,4760,486,NA,NA
2575,Ryzen 7 7730U with Radeon Graphics,2433,739,NA,NA
2576,Ryzen 7 7735HS with Radeon Graphics,5175,446,NA,NA
2577,Ryzen 7 7735U with Radeon Graphics,5081,456,NA,NA
2578,Ryzen 7 9700X 8-Core Processor,2250,791,NA,NA
2579,Ryzen 7 9800X3D 8-Core Processor,1830,924,NA,NA
2580,Ryzen 7 Extreme Edition,2151,811,NA,NA
2581,Ryzen 7 Pro 4750G with Radeon Graphics,2681,699,NA,NA
2582,Ryzen 7 PRO 4750GE with Radeon Graphics,2549,720,NA,NA
2583,Ryzen 7 PRO 4750U with Radeon Graphics,2029,850,NA,NA
2584,Ryzen 7 PRO 5750G with Radeon Graphics,2367,754,NA,NA
2585,Ryzen 7 PRO 5750GE with Radeon Graphics,2476,734,NA,NA
2586,Ryzen 7 PRO 5850U with Radeon Graphics,2333,764,NA,NA
2587,Ryzen 7 PRO 5875U with Radeon Graphics,2067,839,NA,NA
2588,Ryzen 7 PRO 6850H with Radeon Graphics,5790,398,NA,NA
2589,Ryzen 7 PRO 6850HS with Radeon Graphics,4087,536,NA,NA
2590,Ryzen 7 PRO 6850U,5580,411,NA,NA
2591,Ryzen 7 PRO 6850U with Radeon Graphics,5116,453,NA,NA
2592,Ryzen 7 PRO 6860Z,5076,457,NA,NA
2593,Ryzen 7 PRO 6860Z with Radeon Graphics,4869,476,NA,NA
2594,Ryzen 7 PRO 7730U with Radeon Graphics,2566,718,NA,NA
2595,Ryzen 7 Pro 7735U with Radeon Graphics,5142,451,NA,NA
2596,Ryzen 9 4900HS with Radeon Graphics,7022,344,NA,NA
2597,Ryzen 9 5900HS with Radeon Graphics,5479,422,NA,NA
2598,Ryzen 9 5900HX with Radeon Graphics,2935,662,NA,NA
2599,Ryzen 9 6900HS,8005,307,NA,NA
2600,Ryzen 9 6900HS with Radeon Graphics,6109,385,NA,NA
2601,Ryzen 9 6900HX with Radeon Graphics,5178,445,NA,NA
2602,Ryzen 9 9900X 12-Core Processor,1729,953,NA,NA
2603,Ryzen 9 9950X 16-Core Processor,1770,942,NA,NA
2604,Ryzen 9 PRO 6950H,5758,400,NA,NA
2605,Ryzen 9 PRO 6950H with Radeon Graphics,6176,378,NA,NA
2606,Ryzen 9 PRO 6950HS with Radeon Graphics,4704,493,NA,NA
2607,S3 5400EW,146,2104,NA,NA
2608,S3 Chrome 430 ULP,39,2424,NA,NA
2609,S3 Chrome S25 DDR2,18,2513,NA,NA
2610,S3 Chrome S27 DDR3,33,2457,NA,NA
2611,S3 Inc. Savage4,3,2653,NA,NA
2612,S3 ProSavageDDR,1,2691,NA,NA
2613,S3 SuperSavage/IXC 1014,1,2685,NA,NA
2614,Sangfor TitanGPU controller,63,2342,NA,NA
2615,SAPPHIRE RADEON 9000 ATLANTIS PRO,5,2590,NA,NA
2616,SAPPHIRE RADEON 9600 ATLANTIS,47,2392,NA,NA
2617,SAPPHIRE Radeon X1550,61,2348,NA,NA
2618,Sapphire RADEON X800 GT,112,2202,NA,NA
2619,Seria Mobility Radeon HD 3400,124,2163,NA,NA
2620,Seria Radeon HD 7700,1603,1006,NA,NA
2621,Snapdragon X Elite - X1E001DE - Qualcomm Adreno GP,3245,621,NA,NA
2622,Snapdragon X Elite - X1E78100 - Qualcomm Adreno GP,2565,719,NA,NA
2623,Snapdragon X Elite - X1E80100 - Qualcomm Adreno GP,2613,706,NA,NA
2624,Snapdragon X Elite - X1E84100 - Qualcomm Adreno GP,2981,655,NA,NA
2625,Snapdragon X Plus - X1P64100 - Qualcomm Adreno GPU,2601,707,NA,NA
2626,SUMO 9640,650,1531,NA,NA
2627,SUMO 9644,465,1772,NA,NA
2628,SUMO 964A,497,1733,NA,NA
2629,SuperDisplay Virtual Adapter,10390,240,NA,NA
2630,Surface Duo Adreno 640 GPU,592,1604,NA,NA
2631,T1000,7627,326,14.54,$524.53
2632,T1000 8GB,7645,325,NA,NA
2633,T1200 Laptop GPU,7756,317,NA,NA
2634,T400,3601,581,21.19,$169.99*
2635,T400 4GB,3801,560,NA,NA
2636,T500,3645,578,NA,NA
2637,T550 Laptop GPU,4779,482,NA,NA
2638,T600,6479,365,27.00,$239.99*
2639,T600 Laptop GPU,7082,341,NA,NA
2640,TENSOR 1.0 Driver Intel HD 630,1299,1107,NA,NA
2641,Tesla C2050,3175,631,11.76,$269.99*
2642,Tesla C2050 / C2070,3428,601,NA,NA
2643,Tesla C2070,3120,641,5.17,$604.00*
2644,Tesla C2075,3016,651,4.67,$646.00*
2645,Tesla K20m,4432,515,NA,NA
2646,Tesla K20Xm,4403,519,0.57,"$7,699.00*"
2647,Tesla K40c,4494,507,NA,NA
2648,Tesla K40m,3143,637,NA,NA
2649,Tesla K80,4680,495,7.88,$593.95*
2650,Tesla M10,3045,649,1.13,"$2,695.00*"
2651,Tesla M2070-Q,1305,1104,NA,NA
2652,Tesla M40,10219,242,17.03,$600.00*
2653,Tesla M40 24GB,10641,236,NA,NA
2654,Tesla M6,6226,375,31.29,$199.00*
2655,Tesla M60,7651,324,9.71,$787.90*
2656,Tesla P100-PCIE-16GB,11813,210,2.07,"$5,699.00*"
2657,Tesla P4,9097,274,NA,NA
2658,Tesla P40,12190,203,NA,NA
2659,Tesla T10,12557,192,NA,NA
2660,Tesla T4,10647,235,2.38,"$4,466.65*"
2661,Tesla V100-PCIE-16GB,12328,197,NA,NA
2662,TITAN RTX,20331,69,8.14,"$2,499.00*"
2663,TITAN V,19738,77,9.87,"$1,999.99*"
2664,TITAN V CEO Edition,16987,104,NA,NA
2665,TITAN Xp COLLECTORS EDITION,18682,87,NA,NA
2666,TRINITY DEVASTATOR MOBILE,578,1624,NA,NA
2667,TRINITY SCRAPPER MOBILE,498,1732,NA,NA
2668,V9560XT,6,2566,NA,NA
2669,Vanta/Vanta LT,3,2657,NA,NA
2670,VIA Chrome9 HC IGP,4,2618,NA,NA
2671,VIA Chrome9 HC IGP Family,3,2630,NA,NA
2672,VIA Chrome9 HC IGP Family WDDM,3,2642,NA,NA
2673,VIA Chrome9 HC IGP Prerelease WDDM 1.1,2,2680,NA,NA
2674,VIA Chrome9 HC IGP WDDM,2,2678,NA,NA
2675,VIA Chrome9 HC IGP WDDM 1.1,3,2646,NA,NA
2676,VIA Chrome9 HC3 IGP,2,2667,NA,NA
2677,VIA Chrome9 HCM IGP,1,2689,NA,NA
2678,VIA Chrome9 HD IGP,10,2539,NA,NA
2679,VIA/S3G C-645/640 GPU,132,2144,NA,NA
2680,VIA/S3G Chrome 645/640 GPU,109,2212,NA,NA
2681,VIA/S3G DeltaChrome IGP,3,2648,NA,NA
2682,VIA/S3G KM400/KN400,4,2624,NA,NA
2683,VIA/S3G UniChrome IGP,4,2619,NA,NA
2684,VIA/S3G UniChrome Pro IGP,4,2604,NA,NA
2685,VIA/S3G UniChromeII,5,2574,NA,NA
2686,Virtual Display Device,1661,981,NA,NA
2687,VirtualMonitor Device,2130,820,NA,NA
2688,VisionTek Radeon 7000,1,2686,NA,NA
2689,VMware Horizon Indirect Display Driver,3565,587,NA,NA
2690,WinFast A250 LE,4,2599,NA,NA
2691,Xabre,5,2591,NA,NA
2692,XGI Volari Family v1.13.23.D_V,4,2609,NA,NA
2693,ZX C-1080,315,1913,NA,NA
2694,ZX C-1190,416,1821,NA,NA
2695,ZX Chrome 645/640 GPU,147,2103,NA,NA
