id,Videocard Name,Passmark G3D Mark(higher is better),Rank(lower is better),Videocard Value(higher is better),Price(USD)
2018,Radeon R7 A12-9700P RADEON,710,1471,1.63,$435.92*
2019,Radeon R7 A12-9720P RADEON,724,1457,1.98,$365.48*
2020,Radeon R7 A12-9730P RADEON,1014,1227,NA,NA
2021,Radeon R7 A12-9800 RADEON,1066,1202,NA,NA
2022,Radeon R7 A12-9800E RADEON,913,1295,6.56,$139.19*
2023,Radeon R7 A265,993,1248,NA,NA
2024,Radeon R7 A360,607,1587,NA,NA
2025,Radeon R7 A365,781,1396,NA,NA
2026,Radeon R7 A370,1281,1112,NA,NA
2027,Radeon R7 A8 PRO-7600B,666,1511,NA,NA
2028,Radeon R7 A8-7500,860,1330,NA,NA
2029,Radeon R7 A8-7500 4C+6G,853,1337,NA,NA
2030,Radeon R7 A8-7600,776,1399,NA,NA
2031,Radeon R7 A8-7650K,747,1434,NA,NA
2032,Radeon R7 A8-7670K,846,1344,NA,NA
2033,Radeon R7 A8-7680,819,1368,NA,NA
2034,Radeon R7 A8-8650,912,1296,NA,NA
2035,Radeon R7 A8-9600 RADEON,835,1351,NA,NA
2036,Radeon R7 FX-8800P,815,1372,NA,NA
2037,Radeon R7 FX-9800P RADEON,775,1403,1.46,$530.00*
2038,Radeon R7 FX-9830P RADEON,1394,1077,NA,NA
2039,Radeon R7 G,869,1324,NA,NA
2040,Radeon R7 M260,519,1708,0.65,$799.00*
2041,Radeon R7 M260DX,816,1371,NA,NA
2042,Radeon R7 M260X,994,1246,NA,NA
2043,Radeon R7 M265,536,1685,NA,NA
2044,Radeon R7 M265DX,498,1731,NA,NA
2045,Radeon R7 M270,766,1417,NA,NA
2046,Radeon R7 M340,650,1532,NA,NA
2047,Radeon R7 M350,1167,1154,NA,NA
2048,Radeon R7 M360,583,1618,NA,NA
2049,Radeon R7 M365X,794,1389,NA,NA
2050,Radeon R7 M370,1417,1074,NA,NA
2051,Radeon R7 M380,1668,978,NA,NA
2052,Radeon R7 M440,900,1308,NA,NA
2053,Radeon R7 M445,939,1279,1.26,$744.00*
2054,Radeon R7 M460,1059,1206,NA,NA
2055,Radeon R7 M465,1135,1169,NA,NA
2056,Radeon R7 M465X,1786,937,NA,NA
2057,Radeon R7 Opteron X3421,1135,1168,NA,NA
2058,Radeon R7 PRO A10-8750B,776,1401,NA,NA
2059,Radeon R7 PRO A10-8770,917,1294,NA,NA
2060,Radeon R7 PRO A10-8770E,804,1381,NA,NA
2061,Radeon R7 PRO A10-8850B,945,1275,NA,NA
2062,Radeon R7 PRO A10-9700,809,1379,NA,NA
2063,Radeon R7 PRO A10-9700B,628,1560,NA,NA
2064,Radeon R7 PRO A10-9700E,931,1286,1.76,$529.00*
2065,Radeon R7 PRO A12-8800B,619,1571,NA,NA
2066,Radeon R7 PRO A12-8830B,581,1621,NA,NA
2067,Radeon R7 PRO A12-8870,931,1285,NA,NA
2068,Radeon R7 PRO A12-8870E,892,1312,NA,NA
2069,Radeon R7 PRO A12-9800,975,1255,NA,NA
2070,Radeon R7 PRO A12-9800B,697,1483,NA,NA
2071,Radeon R7 PRO A12-9800E,971,1260,NA,NA
2072,Radeon R7 PRO A6-9500 2C+6G,781,1395,NA,NA
2073,Radeon R7 PRO A8-8650B,714,1468,NA,NA
2074,Radeon R7 PRO A8-8670E,1162,1160,NA,NA
2075,Radeon R7 PRO A8-9600,847,1343,NA,NA
2076,Radeon R7E,564,1648,NA,NA
2077,Radeon R8 M365DX,647,1534,NA,NA
2078,Radeon R8 M445DX,796,1385,NA,NA
2079,Radeon R8 M535DX,670,1507,NA,NA
2080,Radeon R9 255,1435,1063,4.17,$344.16*
2081,Radeon R9 260,3047,648,NA,NA
2082,Radeon R9 270,4306,526,NA,NA
2083,Radeon R9 270 / R7 370,4259,528,19.98,$213.16*
2084,Radeon R9 270X,4871,475,14.92,$326.50*
2085,Radeon R9 280,5541,417,NA,NA
2086,Radeon R9 280X,6118,383,NA,NA
2087,Radeon R9 285 / 380,5549,416,11.44,$485.00*
2088,Radeon R9 290,8206,298,NA,NA
2089,Radeon R9 290 / 390,8150,303,21.45,$380.00*
2090,Radeon R9 290X,8513,290,NA,NA
2091,Radeon R9 290X / 390X,8380,294,26.19,$319.99*
2092,Radeon R9 295X2,8681,286,17.39,$499.10*
2093,Radeon R9 350,1988,868,6.65,$299.00*
2094,Radeon R9 360,3031,650,22.64,$133.89*
2095,Radeon R9 370,4722,491,29.51,$159.99*
2096,Radeon R9 380,6061,386,67.36,$89.99*
2097,Radeon R9 380X,6147,381,17.57,$349.99*
2098,Radeon R9 390,8872,281,NA,NA
2099,Radeon R9 390X,9359,269,NA,NA
2100,Radeon R9 Fury,9539,260,21.53,$443.10*
2101,Radeon R9 Fury + Fury X,9741,253,21.65,$449.99*
