,品牌,名稱,型號,瓦數,適用機殼尺寸類型,模組化,價格
187,,Montech TITAN GOLD 750W 雙8/金牌/全模/ATX3.0,TITAN,750,ATX,2,3690
188,,Montech TITAN GOLD 850W 雙8/金牌/全模/ATX3.0,TITAN,850,ATX,2,3990
189,,Montech TITAN GOLD 1000W 雙8/金牌/全模/ATX3.0,TITAN,1000,ATX,2,4590
190,,Montech TITAN GOLD 1200W 雙8/金牌/全模/ATX3.0,TITAN,1200,ATX,2,5590
191,,Montech TITAN PLA 750W 白色 雙8/白金/全模/ATX3.1,TITAN,750,ATX,2,4790
192,,Montech TITAN PLA 850W 白色 雙8/白金/全模/ATX3.1,TITAN,850,ATX,2,5590
193,,Montech TITAN PLA 1000W 白色 雙8/白金/全模/ATX3.1,TITAN,1000,ATX,2,6290
194,,Montech TITAN PLA 1200W 白色 雙8/白金/全模/ATX3.1,TITAN,1200,ATX,2,7490
195,,全漢 金鋼彈 650W/金牌/全模/全日系/DC-DC/10年保【SFX規格】,650W,650,SFX,2,2890
196,,全漢 聖武士 350W/銅牌/全日系/DC-DC/5年保,350W,350,ATX,0,1090
197,,全漢 聖武士 550W 銅牌/全日系/DC-DC/5年保,550W,550,ATX,0,1590
198,,全漢 聖武士 650W 銅牌/全日系/DC-DC/5年保,650W,650,ATX,0,1790
199,,全漢 HYDRO GT PRO 1000W ATX3.0,HYDRO,1000,ATX,1,3990
200,,全漢 HYDRO G PRO 850W ATX3.0,HYDRO,850,ATX,2,4090
201,,全漢 HYDRO G PRO 1000W ATX3.0,HYDRO,1000,ATX,2,4890
202,,全漢 HYDRO G PRO 1200W ATX3.0,HYDRO,1200,ATX,2,5790
203,,全漢 HYDRO PTM PRO 1350W 雙8/白金/全模/主日系/ATX3.0/雙PCIe5.1/防潮塗層/10年,HYDRO,1350,ATX,2,7990
204,,全漢 HYDRO PTM PRO 1650W 雙8/白金/全模/主日系/ATX3.0/雙PCIe5.1/防潮塗層/10年,HYDRO,1650,ATX,2,11090
205,,全漢 HYDRO PTM X PRO 1000W ATX3.0,HYDRO,1000,ATX,2,4790
206,,全漢 HYDRO PTM X PRO 1200W ATX3.0,HYDRO,1200,ATX,2,5190
207,,全漢 HYDRO PTM X PRO 1200W ATX3.0,HYDRO,1200,ATX,0,5190
208,,全漢 HYDRO Ti PRO 1000W 雙8/鈦金/全模/ATX3.0,HYDRO,1000,ATX,2,9900
209,,全漢 HYDRO PTM+ 1200W 雙8/白金/水冷電源/5年保/Aura Sync【客訂,HYDRO,1200,ATX,0,19990
210,,全漢 VITA GD 650W,VITA,650,ATX,0,1990
211,,全漢 VITA GD 750W,VITA,750,ATX,0,2390
212,,全漢 VITA GD 850W,VITA,850,ATX,0,2690
