,品牌,名稱,型號,瓦數,適用機殼尺寸類型,模組化,價格
84,,海韻 FOCUS GX-550,FOCUS,550,ATX,2,2490
85,,海韻 FOCUS GX-650,FOCUS,650,ATX,2,2690
86,,海韻 FOCUS GX-750,FOCUS,750,ATX,2,2990
87,,海韻 FOCUS GX-750,FOCUS,750,ATX,2,3090
88,,海韻 FOCUS GX-850,FOCUS,850,ATX,2,3490
89,,海韻 FOCUS GX-850,FOCUS,850,ATX,2,3590
90,,海韻 FOCUS GX-750 ATX3,FOCUS,750,ATX,2,3790
91,,海韻 FOCUS GX-750 ATX3,FOCUS,750,ATX,2,3790
92,,海韻 FOCUS GX-850 ATX3,FOCUS,850,ATX,2,4290
93,,海韻 FOCUS GX-850 ATX3,FOCUS,850,ATX,2,4490
94,,海韻 FOCUS GX-1000 ATX3,FOCUS,1000,ATX,2,5490
95,,海韻 FOCUS GX-1000 ATX3,FOCUS,1000,ATX,2,5790
96,,海韻 VERTEX GX-850,VERTEX,850,ATX,2,4690
97,,海韻 VERTEX GX-1000,VERTEX,1000,ATX,2,5690
98,,↪ 即日起買海韻 VERTEX GX-系列電源供應器,VERTEX,,ATX,0,
99,,海韻 VERTEX GX-1200,VERTEX,1200,ATX,2,6290
100,,海韻 VERTEX GX-1200,VERTEX,1200,ATX,2,7190
101,,海韻 VERTEX PX-1000,VERTEX,1000,ATX,2,6490
102,,海韻 VERTEX PX-1200,VERTEX,1200,ATX,2,7590
103,,海韻 PRIME PX-1600 ATX3.0,PRIME,1600,ATX,2,16490
104,,海韻 PRIME TX-1300 ATX3.0,PRIME,1300,ATX,2,16490
105,,海韻 PRIME TX-1600 ATX3.0,PRIME,1600,ATX,2,18490
106,,台達 350W/銅牌/3年保固/2年換新/GPS-350HB A,350W,350,ATX,0,1290
107,,台達 550W 雙8/銅牌/DC-DC/5年保固/3年換新/GPS-550GB A,550W,550,ATX,0,1990
108,,台達 650W 雙8/銅牌/DC-DC/5年保固/3年換新/GPS-650FB A,650W,650,ATX,0,2190
109,,台達 650W 雙8/金牌/全模組/DC-DC/10年保固/3年換新/GPS-650MB A,650W,650,ATX,2,2890
110,,台達 超實在 1100W 雙8/白金/全模組/ATX3.0,1100W,1100,ATX,2,6990
111,,台達 超實在 1300W 雙8/白金/全模組/ATX3.0,1300W,1300,ATX,2,7990
112,,美洲獅 COUGAR VTE 400W 銅牌/主日系/DC-DC/5年保,COUGAR,400,ATX,0,1290
113,,美洲獅 COUGAR ATLAS 550W 銅牌/主日系/DC-DC/5年保,COUGAR,550,ATX,0,1690
114,,美洲獅 COUGAR ATLAS 650W 雙8/銅牌/主日系/DC-DC/5年保,COUGAR,650,ATX,0,1890
115,,美洲獅 COUGAR ATLAS 750W 雙8/銅牌/主日系/DC-DC/5年保 原價$2090！,COUGAR,750,ATX,0,2090
116,,美洲獅 COUGAR GEX 850W 雙8/金牌/全模組/主日系/5年保 原價$2990！,COUGAR,850,ATX,2,2990
