,coolpc_id,coolpc_name,benchmark_name,mark,rank,value,benchmark_price
76,20,Intel i3-14100,4100,Intel Xeon L5420 @ 2.50GHz,"2,143",3151,77.91
77,21,Intel i5-14400F,0,AArch64,833,4213,nan
78,21,Intel i5-14400F,1,AArch64 rev 2 (aarch64),"2,409",2993,nan
79,21,Intel i5-14400F,4,AC8259V/WAB,910,4124,nan
80,21,Intel i5-14400F,5,Allwinner A133,668,4413,nan
81,21,Intel i5-14400F,14,AMD 4700S,"17,756",899,nan
82,21,Intel i5-14400F,40,AMD A10-7890K,"3,550",2452,26.07
83,21,Intel i5-14400F,44,AMD A10-9600P,"2,359",3019,nan
84,21,Intel i5-14400F,144,AMD A8-4500M APU,"1,695",3445,35.29
85,21,Intel i5-14400F,400,AMD Athlon XP 2700+,256,4915,3.02
86,21,Intel i5-14400F,440,AMD E2-7015 APU,653,4432,nan
87,21,Intel i5-14400F,1440,Amlogic,650,4439,nan
88,21,Intel i5-14400F,4400,Mediatek MT6765V/WB,"1,801",3374,nan
89,22,Intel i5-14400,0,AArch64,833,4213,nan
90,22,Intel i5-14400,1,AArch64 rev 2 (aarch64),"2,409",2993,nan
91,22,Intel i5-14400,4,AC8259V/WAB,910,4124,nan
92,22,Intel i5-14400,5,Allwinner A133,668,4413,nan
93,22,Intel i5-14400,14,AMD 4700S,"17,756",899,nan
94,22,Intel i5-14400,40,AMD A10-7890K,"3,550",2452,26.07
95,22,Intel i5-14400,44,AMD A10-9600P,"2,359",3019,nan
96,22,Intel i5-14400,144,AMD A8-4500M APU,"1,695",3445,35.29
97,22,Intel i5-14400,400,AMD Athlon XP 2700+,256,4915,3.02
98,22,Intel i5-14400,440,AMD E2-7015 APU,653,4432,nan
99,22,Intel i5-14400,1440,Amlogic,650,4439,nan
100,22,Intel i5-14400,4400,Mediatek MT6765V/WB,"1,801",3374,nan
101,23,Intel i5-14600KF,0,AArch64,833,4213,nan
102,23,Intel i5-14600KF,1,AArch64 rev 2 (aarch64),"2,409",2993,nan
103,23,Intel i5-14600KF,4,AC8259V/WAB,910,4124,nan
104,23,Intel i5-14600KF,5,Allwinner A133,668,4413,nan
105,23,Intel i5-14600KF,6,Allwinner A523,"1,906",3297,nan
106,23,Intel i5-14600KF,14,AMD 4700S,"17,756",899,nan
