,coolpc_id,coolpc_name,benchmark_name,mark,rank,value,benchmark_price
352,57,AMD R7 7700 MPK(代理含風扇),70,AMD A4-4020 APU,"1,269",3756,12.05
353,57,AMD R7 7700 MPK(代理含風扇),77,AMD A4-5300 APU,"1,366",3679,50.69
354,57,AMD R7 7700 MPK(代理含風扇),700,AMD Opteron 285,956,4077,38.3
355,57,AMD R7 7700 MPK(代理含風扇),770,AMD Phenom 9550 Quad-Core,"1,664",3465,72.05
356,60,AMD R7 7800X3D,0,AArch64,833,4213,nan
357,60,AMD R7 7800X3D,3,AC8257V/WAB,788,4263,nan
358,60,AMD R7 7800X3D,7,Allwinner A527,"2,297",3053,nan
359,60,AMD R7 7800X3D,8,Allwinner A733,"3,392",2511,nan
360,60,AMD R7 7800X3D,78,AMD A4-5300B APU,"1,254",3772,48.33
361,60,AMD R7 7800X3D,80,AMD A4-6250J APU,"1,671",3459,nan
362,60,AMD R7 7800X3D,780,AMD Phenom FX-5200 Quad-Core,"1,699",3440,nan
363,60,AMD R7 7800X3D,800,AMD Phenom II X2 545,"1,222",3801,27.78
364,63,AMD R9 7950X,0,AArch64,833,4213,nan
365,63,AMD R9 7950X,5,Allwinner A133,668,4413,nan
366,63,AMD R9 7950X,7,Allwinner A527,"2,297",3053,nan
367,63,AMD R9 7950X,9,Allwinner H618,623,4464,nan
368,63,AMD R9 7950X,50,AMD A12-9720P,"2,639",2855,nan
369,63,AMD R9 7950X,79,AMD A4-6210 APU,"1,506",3587,nan
370,63,AMD R9 7950X,95,AMD A6-3410MX APU,"1,270",3755,318.39
371,63,AMD R9 7950X,795,AMD Phenom II P920 Quad-Core,"1,006",4029,15.48
372,63,AMD R9 7950X,950,AMD Ryzen 3 8300G,"14,374",1071,nan
373,64,AMD R9 7950X3D,0,AArch64,833,4213,nan
374,64,AMD R9 7950X3D,3,AC8257V/WAB,788,4263,nan
375,64,AMD R9 7950X3D,5,Allwinner A133,668,4413,nan
376,64,AMD R9 7950X3D,7,Allwinner A527,"2,297",3053,nan
377,64,AMD R9 7950X3D,9,Allwinner H618,623,4464,nan
378,64,AMD R9 7950X3D,50,AMD A12-9720P,"2,639",2855,nan
379,64,AMD R9 7950X3D,79,AMD A4-6210 APU,"1,506",3587,nan
380,64,AMD R9 7950X3D,95,AMD A6-3410MX APU,"1,270",3755,318.39
381,64,AMD R9 7950X3D,795,AMD Phenom II P920 Quad-Core,"1,006",4029,15.48
382,64,AMD R9 7950X3D,950,AMD Ryzen 3 8300G,"14,374",1071,nan
383,65,AMD R5 8400F MPK(代理含風扇),0,AArch64,833,4213,nan
384,65,AMD R5 8400F MPK(代理含風扇),4,AC8259V/WAB,910,4124,nan
385,65,AMD R5 8400F MPK(代理含風扇),5,Allwinner A133,668,4413,nan
386,65,AMD R5 8400F MPK(代理含風扇),8,Allwinner A733,"3,392",2511,nan
387,65,AMD R5 8400F MPK(代理含風扇),40,AMD A10-7890K,"3,550",2452,26.07
388,65,AMD R5 8400F MPK(代理含風扇),84,AMD A4-7210 APU,"1,663",3466,nan
389,65,AMD R5 8400F MPK(代理含風扇),400,AMD Athlon XP 2700+,256,4915,3.02
390,65,AMD R5 8400F MPK(代理含風扇),840,AMD Phenom II X4 980,"2,839",2758,21.83
391,66,AMD R7 8700F MPK(代理含風扇),0,AArch64,833,4213,nan
392,66,AMD R7 8700F MPK(代理含風扇),7,Allwinner A527,"2,297",3053,nan
393,66,AMD R7 8700F MPK(代理含風扇),8,Allwinner A733,"3,392",2511,nan
394,66,AMD R7 8700F MPK(代理含風扇),70,AMD A4-4020 APU,"1,269",3756,12.05
395,66,AMD R7 8700F MPK(代理含風扇),87,AMD A4-9120C,864,4177,nan
396,66,AMD R7 8700F MPK(代理含風扇),700,AMD Opteron 285,956,4077,38.3
397,66,AMD R7 8700F MPK(代理含風扇),870,AMD Phenom X2 Dual-Core GE-7060,"1,010",4025,nan
398,67,AMD R5 8400F,0,AArch64,833,4213,nan
399,67,AMD R5 8400F,4,AC8259V/WAB,910,4124,nan
400,67,AMD R5 8400F,5,Allwinner A133,668,4413,nan
401,67,AMD R5 8400F,8,Allwinner A733,"3,392",2511,nan
402,67,AMD R5 8400F,40,AMD A10-7890K,"3,550",2452,26.07
403,67,AMD R5 8400F,84,AMD A4-7210 APU,"1,663",3466,nan
404,67,AMD R5 8400F,400,AMD Athlon XP 2700+,256,4915,3.02
405,67,AMD R5 8400F,840,AMD Phenom II X4 980,"2,839",2758,21.83
406,69,AMD R7 8700G,0,AArch64,833,4213,nan
407,69,AMD R7 8700G,7,Allwinner A527,"2,297",3053,nan
408,69,AMD R7 8700G,8,Allwinner A733,"3,392",2511,nan
409,69,AMD R7 8700G,70,AMD A4-4020 APU,"1,269",3756,12.05
410,69,AMD R7 8700G,87,AMD A4-9120C,864,4177,nan
411,69,AMD R7 8700G,700,AMD Opteron 285,956,4077,38.3
412,69,AMD R7 8700G,870,AMD Phenom X2 Dual-Core GE-7060,"1,010",4025,nan
413,70,AMD R5 9600,0,AArch64,833,4213,nan
414,70,AMD R5 9600,5,Allwinner A133,668,4413,nan
415,70,AMD R5 9600,6,Allwinner A523,"1,906",3297,nan
416,70,AMD R5 9600,9,Allwinner H618,623,4464,nan
417,70,AMD R5 9600,60,AMD A4-1350 APU,911,4122,nan
418,70,AMD R5 9600,96,AMD A6-3420M APU,"1,302",3728,nan
419,70,AMD R5 9600,600,AMD FX-4300 Quad-Core,"2,990",2691,62.27
420,70,AMD R5 9600,960,AMD Ryzen 3 PRO 3200GE,"6,850",1720,nan
421,71,AMD R5 9600X,0,AArch64,833,4213,nan
422,71,AMD R5 9600X,5,Allwinner A133,668,4413,nan
423,71,AMD R5 9600X,6,Allwinner A523,"1,906",3297,nan
424,71,AMD R5 9600X,9,Allwinner H618,623,4464,nan
425,71,AMD R5 9600X,60,AMD A4-1350 APU,911,4122,nan
426,71,AMD R5 9600X,96,AMD A6-3420M APU,"1,302",3728,nan
427,71,AMD R5 9600X,600,AMD FX-4300 Quad-Core,"2,990",2691,62.27
428,71,AMD R5 9600X,960,AMD Ryzen 3 PRO 3200GE,"6,850",1720,nan
429,72,AMD R7 9700X,0,AArch64,833,4213,nan
430,72,AMD R7 9700X,7,Allwinner A527,"2,297",3053,nan
431,72,AMD R7 9700X,9,Allwinner H618,623,4464,nan
432,72,AMD R7 9700X,70,AMD A4-4020 APU,"1,269",3756,12.05
433,72,AMD R7 9700X,97,AMD A6-3430MX APU,"1,389",3664,nan
434,72,AMD R7 9700X,700,AMD Opteron 285,956,4077,38.3
435,72,AMD R7 9700X,970,AMD Ryzen 3 PRO 5355GE,"12,761",1183,nan
436,73,AMD R7 9800X3D,0,AArch64,833,4213,nan
437,73,AMD R7 9800X3D,3,AC8257V/WAB,788,4263,nan
438,73,AMD R7 9800X3D,7,Allwinner A527,"2,297",3053,nan
439,73,AMD R7 9800X3D,8,Allwinner A733,"3,392",2511,nan
440,73,AMD R7 9800X3D,9,Allwinner H618,623,4464,nan
441,73,AMD R7 9800X3D,80,AMD A4-6250J APU,"1,671",3459,nan
442,73,AMD R7 9800X3D,98,AMD A6-3500 APU,"1,438",3625,23.88
443,73,AMD R7 9800X3D,800,AMD Phenom II X2 545,"1,222",3801,27.78
444,73,AMD R7 9800X3D,980,AMD Ryzen 5 1600X,"13,035",1166,113.35
445,74,AMD R9 9900X,0,AArch64,833,4213,nan
446,74,AMD R9 9900X,9,Allwinner H618,623,4464,nan
447,74,AMD R9 9900X,90,AMD A6 Micro-6500T APU,"1,146",3882,nan
448,74,AMD R9 9900X,99,AMD A6-3600 APU,"1,697",3442,68.02
449,74,AMD R9 9900X,900,AMD PRO A6-8550B,"1,882",3316,nan
450,74,AMD R9 9900X,990,AMD Ryzen 5 2600H,"8,002",1548,nan
451,75,AMD R9 9900X3D,0,AArch64,833,4213,nan
452,75,AMD R9 9900X3D,3,AC8257V/WAB,788,4263,nan
453,75,AMD R9 9900X3D,9,Allwinner H618,623,4464,nan
454,75,AMD R9 9900X3D,90,AMD A6 Micro-6500T APU,"1,146",3882,nan
455,75,AMD R9 9900X3D,99,AMD A6-3600 APU,"1,697",3442,68.02
456,75,AMD R9 9900X3D,900,AMD PRO A6-8550B,"1,882",3316,nan
457,75,AMD R9 9900X3D,990,AMD Ryzen 5 2600H,"8,002",1548,nan
458,76,AMD R9 9950X,0,AArch64,833,4213,nan
459,76,AMD R9 9950X,5,Allwinner A133,668,4413,nan
460,76,AMD R9 9950X,9,Allwinner H618,623,4464,nan
461,76,AMD R9 9950X,50,AMD A12-9720P,"2,639",2855,nan
462,76,AMD R9 9950X,95,AMD A6-3410MX APU,"1,270",3755,318.39
463,76,AMD R9 9950X,99,AMD A6-3600 APU,"1,697",3442,68.02
464,76,AMD R9 9950X,950,AMD Ryzen 3 8300G,"14,374",1071,nan
465,76,AMD R9 9950X,995,AMD Ryzen 5 3400GE,"8,848",1458,24.9
466,77,AMD R9 9950X3D,0,AArch64,833,4213,nan
467,77,AMD R9 9950X3D,3,AC8257V/WAB,788,4263,nan
468,77,AMD R9 9950X3D,5,Allwinner A133,668,4413,nan
469,77,AMD R9 9950X3D,9,Allwinner H618,623,4464,nan
470,77,AMD R9 9950X3D,50,AMD A12-9720P,"2,639",2855,nan
471,77,AMD R9 9950X3D,95,AMD A6-3410MX APU,"1,270",3755,318.39
472,77,AMD R9 9950X3D,99,AMD A6-3600 APU,"1,697",3442,68.02
473,77,AMD R9 9950X3D,950,AMD Ryzen 3 8300G,"14,374",1071,nan
474,77,AMD R9 9950X3D,995,AMD Ryzen 5 3400GE,"8,848",1458,24.9
475,78,AMD Ryzen TR 7970X,0,AArch64,833,4213,nan
476,78,AMD Ryzen TR 7970X,7,Allwinner A527,"2,297",3053,nan
477,78,AMD Ryzen TR 7970X,9,Allwinner H618,623,4464,nan
478,78,AMD Ryzen TR 7970X,70,AMD A4-4020 APU,"1,269",3756,12.05
479,78,AMD Ryzen TR 7970X,79,AMD A4-6210 APU,"1,506",3587,nan
480,78,AMD Ryzen TR 7970X,97,AMD A6-3430MX APU,"1,389",3664,nan
481,78,AMD Ryzen TR 7970X,797,AMD Phenom II P960 Quad-Core,"1,417",3646,41.65
482,78,AMD Ryzen TR 7970X,970,AMD Ryzen 3 PRO 5355GE,"12,761",1183,nan
483,79,AMD Ryzen TR 7980X,0,AArch64,833,4213,nan
484,79,AMD Ryzen TR 7980X,7,Allwinner A527,"2,297",3053,nan
485,79,AMD Ryzen TR 7980X,8,Allwinner A733,"3,392",2511,nan
486,79,AMD Ryzen TR 7980X,9,Allwinner H618,623,4464,nan
487,79,AMD Ryzen TR 7980X,79,AMD A4-6210 APU,"1,506",3587,nan
488,79,AMD Ryzen TR 7980X,80,AMD A4-6250J APU,"1,671",3459,nan
489,79,AMD Ryzen TR 7980X,98,AMD A6-3500 APU,"1,438",3625,23.88
490,79,AMD Ryzen TR 7980X,798,AMD Phenom II X2 511,"1,265",3761,nan
491,79,AMD Ryzen TR 7980X,980,AMD Ryzen 5 1600X,"13,035",1166,113.35
